filepath,chord_name,chord_type,notes_midi,notes_names,base_note,base_note_name,velocity,articulation,pedal,duration,num_notes
data\piano\A_minor\A_minor_v60.wav,A_minor,minor,"[69, 72, 76]","['A4', 'C5', 'E5']",69,A4,60,sustain,1,1.457,3
data\piano\A_minor\A_minor_v90.wav,A_minor,minor,"[69, 72, 76]","['A4', 'C5', 'E5']",69,A4,90,sustain,1,1.424,3
data\piano\E_minor\E_minor_v60.wav,E_minor,minor,"[64, 67, 71]","['E4', 'G4', 'B4']",64,E4,60,sustain,1,2.338,3
data\piano\E_minor\E_minor_v90.wav,E_minor,minor,"[64, 67, 71]","['E4', 'G4', 'B4']",64,E4,90,sustain,1,2.334,3
data\piano\D_minor\D_minor_v60.wav,D_minor,minor,"[62, 65, 69]","['D4', 'F4', 'A4']",62,D4,60,sustain,1,2.341,3
data\piano\D_minor\D_minor_v90.wav,D_minor,minor,"[62, 65, 69]","['D4', 'F4', 'A4']",62,D4,90,sustain,1,2.334,3
data\piano\G_minor\G_minor_v60.wav,G_minor,minor,"[67, 70, 74]","['G4', 'A#4', 'D5']",67,G4,60,sustain,1,2.277,3
data\piano\G_minor\G_minor_v90.wav,G_minor,minor,"[67, 70, 74]","['G4', 'A#4', 'D5']",67,G4,90,sustain,1,2.288,3
data\piano\C_minor\C_minor_v60.wav,C_minor,minor,"[60, 63, 67]","['C4', 'D#4', 'G4']",60,C4,60,sustain,1,2.335,3
data\piano\C_minor\C_minor_v90.wav,C_minor,minor,"[60, 63, 67]","['C4', 'D#4', 'G4']",60,C4,90,sustain,1,2.334,3
data\piano\F_minor\F_minor_v60.wav,F_minor,minor,"[65, 68, 72]","['F4', 'G#4', 'C5']",65,F4,60,sustain,1,2.168,3
data\piano\F_minor\F_minor_v90.wav,F_minor,minor,"[65, 68, 72]","['F4', 'G#4', 'C5']",65,F4,90,sustain,1,1.97,3
data\piano\Bb_minor\Bb_minor_v60.wav,Bb_minor,minor,"[70, 73, 77]","['A#4', 'C#5', 'F5']",70,A#4,60,sustain,1,1.142,3
data\piano\Bb_minor\Bb_minor_v90.wav,Bb_minor,minor,"[70, 73, 77]","['A#4', 'C#5', 'F5']",70,A#4,90,sustain,1,1.14,3
data\piano\Eb_minor\Eb_minor_v60.wav,Eb_minor,minor,"[63, 66, 70]","['D#4', 'F#4', 'A#4']",63,D#4,60,sustain,1,2.338,3
data\piano\Eb_minor\Eb_minor_v90.wav,Eb_minor,minor,"[63, 66, 70]","['D#4', 'F#4', 'A#4']",63,D#4,90,sustain,1,2.334,3
data\piano\Csus2\Csus2_v60.wav,Csus2,sus,"[60, 62, 67]","['C4', 'D4', 'G4']",60,C4,60,sustain,1,2.346,3
data\piano\Csus2\Csus2_v90.wav,Csus2,sus,"[60, 62, 67]","['C4', 'D4', 'G4']",60,C4,90,sustain,1,2.333,3
data\piano\Csus4\Csus4_v60.wav,Csus4,sus,"[60, 65, 67]","['C4', 'F4', 'G4']",60,C4,60,sustain,1,2.328,3
data\piano\Csus4\Csus4_v90.wav,Csus4,sus,"[60, 65, 67]","['C4', 'F4', 'G4']",60,C4,90,sustain,1,2.323,3
data\piano\Gsus2\Gsus2_v60.wav,Gsus2,sus,"[67, 69, 74]","['G4', 'A4', 'D5']",67,G4,60,sustain,1,2.286,3
data\piano\Gsus2\Gsus2_v90.wav,Gsus2,sus,"[67, 69, 74]","['G4', 'A4', 'D5']",67,G4,90,sustain,1,2.272,3
data\piano\Gsus4\Gsus4_v60.wav,Gsus4,sus,"[67, 72, 74]","['G4', 'C5', 'D5']",67,G4,60,sustain,1,2.315,3
data\piano\Gsus4\Gsus4_v90.wav,Gsus4,sus,"[67, 72, 74]","['G4', 'C5', 'D5']",67,G4,90,sustain,1,2.295,3
data\piano\Dsus2\Dsus2_v60.wav,Dsus2,sus,"[62, 64, 69]","['D4', 'E4', 'A4']",62,D4,60,sustain,1,2.35,3
data\piano\Dsus2\Dsus2_v90.wav,Dsus2,sus,"[62, 64, 69]","['D4', 'E4', 'A4']",62,D4,90,sustain,1,2.338,3
data\piano\Dsus4\Dsus4_v60.wav,Dsus4,sus,"[62, 67, 69]","['D4', 'G4', 'A4']",62,D4,60,sustain,1,2.336,3
data\piano\Dsus4\Dsus4_v90.wav,Dsus4,sus,"[62, 67, 69]","['D4', 'G4', 'A4']",62,D4,90,sustain,1,2.331,3
data\piano\Asus2\Asus2_v60.wav,Asus2,sus,"[69, 71, 76]","['A4', 'B4', 'E5']",69,A4,60,sustain,1,1.433,3
data\piano\Asus2\Asus2_v90.wav,Asus2,sus,"[69, 71, 76]","['A4', 'B4', 'E5']",69,A4,90,sustain,1,1.423,3
data\piano\Asus4\Asus4_v60.wav,Asus4,sus,"[69, 74, 76]","['A4', 'D5', 'E5']",69,A4,60,sustain,1,1.684,3
data\piano\Asus4\Asus4_v90.wav,Asus4,sus,"[69, 74, 76]","['A4', 'D5', 'E5']",69,A4,90,sustain,1,1.616,3
data\piano\C_aug\C_aug_v60.wav,C_aug,aug_dim,"[60, 64, 68]","['C4', 'E4', 'G#4']",60,C4,60,sustain,1,2.325,3
data\piano\C_aug\C_aug_v90.wav,C_aug,aug_dim,"[60, 64, 68]","['C4', 'E4', 'G#4']",60,C4,90,sustain,1,2.314,3
data\piano\C_dim\C_dim_v60.wav,C_dim,aug_dim,"[60, 63, 66]","['C4', 'D#4', 'F#4']",60,C4,60,sustain,1,2.342,3
data\piano\C_dim\C_dim_v90.wav,C_dim,aug_dim,"[60, 63, 66]","['C4', 'D#4', 'F#4']",60,C4,90,sustain,1,2.333,3
data\piano\G_aug\G_aug_v60.wav,G_aug,aug_dim,"[67, 71, 75]","['G4', 'B4', 'D#5']",67,G4,60,sustain,1,2.315,3
data\piano\G_aug\G_aug_v90.wav,G_aug,aug_dim,"[67, 71, 75]","['G4', 'B4', 'D#5']",67,G4,90,sustain,1,2.303,3
data\piano\G_dim\G_dim_v60.wav,G_dim,aug_dim,"[67, 70, 73]","['G4', 'A#4', 'C#5']",67,G4,60,sustain,1,2.035,3
data\piano\G_dim\G_dim_v90.wav,G_dim,aug_dim,"[67, 70, 73]","['G4', 'A#4', 'C#5']",67,G4,90,sustain,1,2.023,3
