filepath,note,midi,velocity,articulation,pedal,duration,take
data\piano_phase3\B0\B0_v90_staccato_noped_t1.wav,B0,23,90,staccato,0,0.739,1
data\piano_phase3\B0\B0_v90_staccato_ped_t1.wav,B0,23,90,staccato,1,0.739,1
data\piano_phase3\B0\B0_v30_legato_ped_t1.wav,B0,23,30,legato,1,2.339,1
data\piano_phase3\B0\B0_v90_legato_ped_t1.wav,B0,23,90,legato,1,2.341,1
data\piano_phase3\B0\B0_v30_portato_noped_t1.wav,B0,23,30,portato,0,1.184,1
data\piano_phase3\B0\B0_v110_legato_noped_t1.wav,B0,23,110,legato,0,2.345,1
data\piano_phase3\B0\B0_v30_legato_noped_t1.wav,B0,23,30,legato,0,2.339,1
data\piano_phase3\B0\B0_v90_legato_noped_t1.wav,B0,23,90,legato,0,2.341,1
data\piano_phase3\C1\C1_v30_staccato_ped_t1.wav,C1,24,30,staccato,1,0.738,1
data\piano_phase3\C1\C1_v90_staccato_noped_t1.wav,C1,24,90,staccato,0,0.74,1
data\piano_phase3\C1\C1_v90_sustain_ped_t1.wav,C1,24,90,sustain,1,1.864,1
data\piano_phase3\C1\C1_v110_portato_noped_t1.wav,C1,24,110,portato,0,1.185,1
data\piano_phase3\C1\C1_v30_staccato_noped_t1.wav,C1,24,30,staccato,0,0.738,1
data\piano_phase3\C1\C1_v90_legato_ped_t1.wav,C1,24,90,legato,1,2.343,1
data\piano_phase3\C1\C1_v90_staccato_ped_t1.wav,C1,24,90,staccato,1,0.74,1
data\piano_phase3\C1\C1_v30_portato_noped_t1.wav,C1,24,30,portato,0,1.164,1
data\piano_phase3\C1\C1_v30_portato_ped_t1.wav,C1,24,30,portato,1,1.164,1
data\piano_phase3\C1\C1_v30_sustain_ped_t1.wav,C1,24,30,sustain,1,1.85,1
data\piano_phase3\C1\C1_v110_portato_ped_t1.wav,C1,24,110,portato,1,1.185,1
data\piano_phase3\C1\C1_v110_legato_ped_t1.wav,C1,24,110,legato,1,2.338,1
data\piano_phase3\C1\C1_v110_staccato_ped_t1.wav,C1,24,110,staccato,1,0.746,1
data\piano_phase3\C1\C1_v60_staccato_ped_t1.wav,C1,24,60,staccato,1,0.738,1
data\piano_phase3\C1\C1_v60_portato_ped_t1.wav,C1,24,60,portato,1,1.192,1
data\piano_phase3\C1\C1_v110_legato_noped_t1.wav,C1,24,110,legato,0,2.338,1
data\piano_phase3\C1\C1_v30_legato_ped_t1.wav,C1,24,30,legato,1,2.321,1
data\piano_phase3\C1\C1_v90_portato_ped_t1.wav,C1,24,90,portato,1,1.192,1
data\piano_phase3\C1\C1_v60_staccato_noped_t1.wav,C1,24,60,staccato,0,0.738,1
data\piano_phase3\C1\C1_v30_sustain_noped_t1.wav,C1,24,30,sustain,0,1.85,1
data\piano_phase3\C1\C1_v60_legato_noped_t1.wav,C1,24,60,legato,0,2.352,1
data\piano_phase3\C1\C1_v110_staccato_noped_t1.wav,C1,24,110,staccato,0,0.746,1
data\piano_phase3\C#1\C#1_v110_staccato_noped_t1.wav,C#1,25,110,staccato,0,0.743,1
data\piano_phase3\C#1\C#1_v90_legato_ped_t1.wav,C#1,25,90,legato,1,2.339,1
data\piano_phase3\C#1\C#1_v30_sustain_ped_t1.wav,C#1,25,30,sustain,1,1.844,1
data\piano_phase3\C#1\C#1_v90_legato_noped_t1.wav,C#1,25,90,legato,0,2.339,1
data\piano_phase3\C#1\C#1_v60_legato_ped_t1.wav,C#1,25,60,legato,1,2.362,1
data\piano_phase3\C#1\C#1_v60_staccato_ped_t1.wav,C#1,25,60,staccato,1,0.735,1
data\piano_phase3\C#1\C#1_v110_sustain_ped_t1.wav,C#1,25,110,sustain,1,1.853,1
data\piano_phase3\C#1\C#1_v60_portato_ped_t1.wav,C#1,25,60,portato,1,1.194,1
data\piano_phase3\C#1\C#1_v110_sustain_noped_t1.wav,C#1,25,110,sustain,0,1.853,1
data\piano_phase3\C#1\C#1_v90_portato_noped_t1.wav,C#1,25,90,portato,0,1.183,1
data\piano_phase3\C#1\C#1_v30_legato_ped_t1.wav,C#1,25,30,legato,1,2.333,1
data\piano_phase3\C#1\C#1_v110_portato_noped_t1.wav,C#1,25,110,portato,0,1.176,1
data\piano_phase3\C#1\C#1_v30_legato_noped_t1.wav,C#1,25,30,legato,0,2.333,1
data\piano_phase3\C#1\C#1_v30_sustain_noped_t1.wav,C#1,25,30,sustain,0,1.844,1
data\piano_phase3\C#1\C#1_v30_staccato_ped_t1.wav,C#1,25,30,staccato,1,0.736,1
data\piano_phase3\C#1\C#1_v110_legato_ped_t1.wav,C#1,25,110,legato,1,2.34,1
data\piano_phase3\C#1\C#1_v90_sustain_noped_t1.wav,C#1,25,90,sustain,0,1.858,1
data\piano_phase3\C#1\C#1_v30_portato_ped_t1.wav,C#1,25,30,portato,1,1.167,1
data\piano_phase3\C#1\C#1_v30_staccato_noped_t1.wav,C#1,25,30,staccato,0,0.736,1
data\piano_phase3\C#1\C#1_v90_staccato_ped_t1.wav,C#1,25,90,staccato,1,0.738,1
data\piano_phase3\C#1\C#1_v60_staccato_noped_t1.wav,C#1,25,60,staccato,0,0.735,1
data\piano_phase3\C#1\C#1_v90_staccato_noped_t1.wav,C#1,25,90,staccato,0,0.738,1
data\piano_phase3\D1\D1_v60_sustain_noped_t1.wav,D1,26,60,sustain,0,1.885,1
data\piano_phase3\D1\D1_v30_legato_noped_t1.wav,D1,26,30,legato,0,2.398,1
data\piano_phase3\D1\D1_v90_legato_ped_t1.wav,D1,26,90,legato,1,2.373,1
data\piano_phase3\D1\D1_v90_legato_noped_t1.wav,D1,26,90,legato,0,2.373,1
data\piano_phase3\D1\D1_v30_sustain_ped_t1.wav,D1,26,30,sustain,1,1.885,1
data\piano_phase3\D1\D1_v30_sustain_noped_t1.wav,D1,26,30,sustain,0,1.885,1
data\piano_phase3\D1\D1_v60_legato_noped_t1.wav,D1,26,60,legato,0,2.37,1
data\piano_phase3\D1\D1_v90_sustain_noped_t1.wav,D1,26,90,sustain,0,1.893,1
data\piano_phase3\D1\D1_v60_sustain_ped_t1.wav,D1,26,60,sustain,1,1.885,1
data\piano_phase3\D1\D1_v110_staccato_ped_t1.wav,D1,26,110,staccato,1,0.744,1
data\piano_phase3\D1\D1_v110_sustain_ped_t1.wav,D1,26,110,sustain,1,1.883,1
data\piano_phase3\D1\D1_v60_staccato_noped_t1.wav,D1,26,60,staccato,0,0.743,1
data\piano_phase3\D1\D1_v90_portato_noped_t1.wav,D1,26,90,portato,0,1.226,1
data\piano_phase3\D1\D1_v110_legato_noped_t1.wav,D1,26,110,legato,0,2.375,1
data\piano_phase3\D1\D1_v90_sustain_ped_t1.wav,D1,26,90,sustain,1,1.893,1
data\piano_phase3\D1\D1_v110_sustain_noped_t1.wav,D1,26,110,sustain,0,1.883,1
data\piano_phase3\D1\D1_v30_portato_noped_t1.wav,D1,26,30,portato,0,1.226,1
data\piano_phase3\D1\D1_v110_portato_noped_t1.wav,D1,26,110,portato,0,1.219,1
data\piano_phase3\D1\D1_v30_staccato_ped_t1.wav,D1,26,30,staccato,1,0.765,1
data\piano_phase3\D1\D1_v30_legato_ped_t1.wav,D1,26,30,legato,1,2.398,1
data\piano_phase3\D1\D1_v60_staccato_ped_t1.wav,D1,26,60,staccato,1,0.743,1
data\piano_phase3\D1\D1_v60_portato_ped_t1.wav,D1,26,60,portato,1,1.224,1
data\piano_phase3\D#1\D#1_v30_sustain_noped_t1.wav,D#1,27,30,sustain,0,1.888,1
data\piano_phase3\D#1\D#1_v30_sustain_ped_t1.wav,D#1,27,30,sustain,1,1.888,1
data\piano_phase3\D#1\D#1_v60_staccato_ped_t1.wav,D#1,27,60,staccato,1,0.756,1
data\piano_phase3\D#1\D#1_v60_staccato_noped_t1.wav,D#1,27,60,staccato,0,0.756,1
data\piano_phase3\D#1\D#1_v60_legato_ped_t1.wav,D#1,27,60,legato,1,2.367,1
data\piano_phase3\D#1\D#1_v110_sustain_noped_t1.wav,D#1,27,110,sustain,0,1.883,1
data\piano_phase3\D#1\D#1_v30_legato_noped_t1.wav,D#1,27,30,legato,0,2.373,1
data\piano_phase3\D#1\D#1_v110_legato_noped_t1.wav,D#1,27,110,legato,0,2.372,1
data\piano_phase3\D#1\D#1_v60_sustain_ped_t1.wav,D#1,27,60,sustain,1,1.878,1
data\piano_phase3\D#1\D#1_v90_legato_ped_t1.wav,D#1,27,90,legato,1,2.375,1
data\piano_phase3\D#1\D#1_v110_staccato_noped_t1.wav,D#1,27,110,staccato,0,0.761,1
data\piano_phase3\D#1\D#1_v110_legato_ped_t1.wav,D#1,27,110,legato,1,2.372,1
data\piano_phase3\D#1\D#1_v110_portato_ped_t1.wav,D#1,27,110,portato,1,1.214,1
data\piano_phase3\D#1\D#1_v30_staccato_ped_t1.wav,D#1,27,30,staccato,1,0.761,1
data\piano_phase3\D#1\D#1_v90_portato_noped_t1.wav,D#1,27,90,portato,0,1.22,1
data\piano_phase3\D#1\D#1_v110_staccato_ped_t1.wav,D#1,27,110,staccato,1,0.761,1
data\piano_phase3\D#1\D#1_v110_sustain_ped_t1.wav,D#1,27,110,sustain,1,1.883,1
data\piano_phase3\D#1\D#1_v90_staccato_ped_t1.wav,D#1,27,90,staccato,1,0.76,1
data\piano_phase3\D#1\D#1_v30_staccato_noped_t1.wav,D#1,27,30,staccato,0,0.761,1
data\piano_phase3\D#1\D#1_v60_portato_noped_t1.wav,D#1,27,60,portato,0,1.218,1
data\piano_phase3\D#1\D#1_v30_portato_noped_t1.wav,D#1,27,30,portato,0,1.223,1
data\piano_phase3\D#1\D#1_v90_legato_noped_t1.wav,D#1,27,90,legato,0,2.375,1
data\piano_phase3\E1\E1_v90_portato_ped_t1.wav,E1,28,90,portato,1,1.211,1
data\piano_phase3\E1\E1_v60_legato_noped_t1.wav,E1,28,60,legato,0,2.363,1
data\piano_phase3\E1\E1_v110_sustain_ped_t1.wav,E1,28,110,sustain,1,1.882,1
data\piano_phase3\E1\E1_v60_staccato_ped_t1.wav,E1,28,60,staccato,1,0.748,1
data\piano_phase3\E1\E1_v60_staccato_noped_t1.wav,E1,28,60,staccato,0,0.748,1
data\piano_phase3\E1\E1_v30_portato_noped_t1.wav,E1,28,30,portato,0,1.211,1
data\piano_phase3\E1\E1_v30_sustain_ped_t1.wav,E1,28,30,sustain,1,1.903,1
data\piano_phase3\E1\E1_v90_sustain_ped_t1.wav,E1,28,90,sustain,1,1.888,1
data\piano_phase3\E1\E1_v60_sustain_noped_t1.wav,E1,28,60,sustain,0,1.886,1
data\piano_phase3\E1\E1_v30_staccato_ped_t1.wav,E1,28,30,staccato,1,0.755,1
data\piano_phase3\E1\E1_v60_portato_noped_t1.wav,E1,28,60,portato,0,1.21,1
data\piano_phase3\E1\E1_v30_staccato_noped_t1.wav,E1,28,30,staccato,0,0.755,1
data\piano_phase3\E1\E1_v110_legato_noped_t1.wav,E1,28,110,legato,0,2.367,1
data\piano_phase3\E1\E1_v110_sustain_noped_t1.wav,E1,28,110,sustain,0,1.882,1
data\piano_phase3\E1\E1_v110_staccato_noped_t1.wav,E1,28,110,staccato,0,0.753,1
data\piano_phase3\E1\E1_v90_staccato_noped_t1.wav,E1,28,90,staccato,0,0.751,1
data\piano_phase3\E1\E1_v110_portato_noped_t1.wav,E1,28,110,portato,0,1.214,1
data\piano_phase3\E1\E1_v60_portato_ped_t1.wav,E1,28,60,portato,1,1.21,1
data\piano_phase3\E1\E1_v90_legato_noped_t1.wav,E1,28,90,legato,0,2.366,1
data\piano_phase3\E1\E1_v90_sustain_noped_t1.wav,E1,28,90,sustain,0,1.888,1
data\piano_phase3\E1\E1_v30_portato_ped_t1.wav,E1,28,30,portato,1,1.211,1
data\piano_phase3\E1\E1_v30_legato_noped_t1.wav,E1,28,30,legato,0,2.365,1
data\piano_phase3\F1\F1_v60_sustain_noped_t1.wav,F1,29,60,sustain,0,1.891,1
data\piano_phase3\F1\F1_v110_legato_noped_t1.wav,F1,29,110,legato,0,2.368,1
data\piano_phase3\F1\F1_v90_sustain_noped_t1.wav,F1,29,90,sustain,0,1.892,1
data\piano_phase3\F1\F1_v60_legato_ped_t1.wav,F1,29,60,legato,1,2.37,1
data\piano_phase3\F1\F1_v110_portato_ped_t1.wav,F1,29,110,portato,1,1.229,1
data\piano_phase3\F1\F1_v60_portato_ped_t1.wav,F1,29,60,portato,1,1.227,1
data\piano_phase3\F1\F1_v60_staccato_ped_t1.wav,F1,29,60,staccato,1,0.767,1
data\piano_phase3\F1\F1_v60_portato_noped_t1.wav,F1,29,60,portato,0,1.227,1
data\piano_phase3\F1\F1_v90_portato_ped_t1.wav,F1,29,90,portato,1,1.229,1
data\piano_phase3\F1\F1_v90_portato_noped_t1.wav,F1,29,90,portato,0,1.229,1
data\piano_phase3\F1\F1_v90_legato_ped_t1.wav,F1,29,90,legato,1,2.367,1
data\piano_phase3\F1\F1_v90_sustain_ped_t1.wav,F1,29,90,sustain,1,1.892,1
data\piano_phase3\F1\F1_v110_sustain_ped_t1.wav,F1,29,110,sustain,1,1.893,1
data\piano_phase3\F1\F1_v90_staccato_noped_t1.wav,F1,29,90,staccato,0,0.771,1
data\piano_phase3\F1\F1_v30_legato_noped_t1.wav,F1,29,30,legato,0,2.37,1
data\piano_phase3\F1\F1_v110_legato_ped_t1.wav,F1,29,110,legato,1,2.368,1
data\piano_phase3\F1\F1_v110_staccato_ped_t1.wav,F1,29,110,staccato,1,0.768,1
data\piano_phase3\F1\F1_v110_staccato_noped_t1.wav,F1,29,110,staccato,0,0.768,1
data\piano_phase3\F1\F1_v30_staccato_noped_t1.wav,F1,29,30,staccato,0,0.782,1
data\piano_phase3\F1\F1_v90_legato_noped_t1.wav,F1,29,90,legato,0,2.367,1
data\piano_phase3\F1\F1_v30_staccato_ped_t1.wav,F1,29,30,staccato,1,0.782,1
data\piano_phase3\F1\F1_v30_portato_ped_t1.wav,F1,29,30,portato,1,1.223,1
data\piano_phase3\F#1\F#1_v110_portato_ped_t1.wav,F#1,30,110,portato,1,1.236,1
data\piano_phase3\F#1\F#1_v110_staccato_noped_t1.wav,F#1,30,110,staccato,0,0.776,1
data\piano_phase3\F#1\F#1_v60_portato_ped_t1.wav,F#1,30,60,portato,1,1.23,1
data\piano_phase3\F#1\F#1_v60_sustain_ped_t1.wav,F#1,30,60,sustain,1,1.888,1
data\piano_phase3\F#1\F#1_v110_legato_noped_t1.wav,F#1,30,110,legato,0,2.364,1
data\piano_phase3\F#1\F#1_v60_legato_noped_t1.wav,F#1,30,60,legato,0,2.362,1
data\piano_phase3\F#1\F#1_v30_legato_ped_t1.wav,F#1,30,30,legato,1,2.364,1
data\piano_phase3\F#1\F#1_v30_portato_ped_t1.wav,F#1,30,30,portato,1,1.23,1
data\piano_phase3\F#1\F#1_v90_sustain_ped_t1.wav,F#1,30,90,sustain,1,1.889,1
data\piano_phase3\F#1\F#1_v110_sustain_noped_t1.wav,F#1,30,110,sustain,0,1.89,1
data\piano_phase3\F#1\F#1_v60_sustain_noped_t1.wav,F#1,30,60,sustain,0,1.888,1
data\piano_phase3\F#1\F#1_v30_portato_noped_t1.wav,F#1,30,30,portato,0,1.23,1
data\piano_phase3\F#1\F#1_v90_portato_ped_t1.wav,F#1,30,90,portato,1,1.237,1
data\piano_phase3\F#1\F#1_v60_staccato_noped_t1.wav,F#1,30,60,staccato,0,0.775,1
data\piano_phase3\F#1\F#1_v30_staccato_noped_t1.wav,F#1,30,30,staccato,0,0.774,1
data\piano_phase3\F#1\F#1_v30_sustain_ped_t1.wav,F#1,30,30,sustain,1,1.884,1
data\piano_phase3\F#1\F#1_v90_staccato_noped_t1.wav,F#1,30,90,staccato,0,0.779,1
data\piano_phase3\F#1\F#1_v60_legato_ped_t1.wav,F#1,30,60,legato,1,2.362,1
data\piano_phase3\F#1\F#1_v110_staccato_ped_t1.wav,F#1,30,110,staccato,1,0.776,1
data\piano_phase3\F#1\F#1_v90_sustain_noped_t1.wav,F#1,30,90,sustain,0,1.889,1
data\piano_phase3\F#1\F#1_v90_legato_noped_t1.wav,F#1,30,90,legato,0,2.364,1
data\piano_phase3\F#1\F#1_v60_portato_noped_t1.wav,F#1,30,60,portato,0,1.23,1
data\piano_phase3\G1\G1_v30_portato_ped_t1.wav,G1,31,30,portato,1,1.23,1
data\piano_phase3\G1\G1_v60_legato_ped_t1.wav,G1,31,60,legato,1,2.364,1
data\piano_phase3\G1\G1_v60_portato_ped_t1.wav,G1,31,60,portato,1,1.218,1
data\piano_phase3\G1\G1_v30_portato_noped_t1.wav,G1,31,30,portato,0,1.23,1
data\piano_phase3\G1\G1_v90_legato_ped_t1.wav,G1,31,90,legato,1,2.365,1
data\piano_phase3\G1\G1_v90_legato_noped_t1.wav,G1,31,90,legato,0,2.365,1
data\piano_phase3\G1\G1_v90_staccato_ped_t1.wav,G1,31,90,staccato,1,0.773,1
data\piano_phase3\G1\G1_v90_portato_ped_t1.wav,G1,31,90,portato,1,1.22,1
data\piano_phase3\G1\G1_v110_legato_noped_t1.wav,G1,31,110,legato,0,2.362,1
data\piano_phase3\G1\G1_v110_portato_noped_t1.wav,G1,31,110,portato,0,1.219,1
data\piano_phase3\G1\G1_v90_sustain_noped_t1.wav,G1,31,90,sustain,0,1.892,1
data\piano_phase3\G1\G1_v30_staccato_noped_t1.wav,G1,31,30,staccato,0,0.779,1
data\piano_phase3\G1\G1_v30_staccato_ped_t1.wav,G1,31,30,staccato,1,0.779,1
data\piano_phase3\G1\G1_v110_portato_ped_t1.wav,G1,31,110,portato,1,1.219,1
data\piano_phase3\G1\G1_v110_legato_ped_t1.wav,G1,31,110,legato,1,2.362,1
data\piano_phase3\G1\G1_v60_legato_noped_t1.wav,G1,31,60,legato,0,2.364,1
data\piano_phase3\G1\G1_v60_staccato_ped_t1.wav,G1,31,60,staccato,1,0.783,1
data\piano_phase3\G1\G1_v30_sustain_noped_t1.wav,G1,31,30,sustain,0,1.887,1
data\piano_phase3\G1\G1_v60_sustain_noped_t1.wav,G1,31,60,sustain,0,1.891,1
data\piano_phase3\G1\G1_v110_staccato_noped_t1.wav,G1,31,110,staccato,0,0.771,1
data\piano_phase3\G1\G1_v30_legato_ped_t1.wav,G1,31,30,legato,1,2.365,1
data\piano_phase3\G1\G1_v110_staccato_ped_t1.wav,G1,31,110,staccato,1,0.771,1
data\piano_phase3\G#1\G#1_v60_legato_ped_t1.wav,G#1,32,60,legato,1,2.319,1
data\piano_phase3\G#1\G#1_v110_portato_noped_t1.wav,G#1,32,110,portato,0,1.205,1
data\piano_phase3\G#1\G#1_v90_portato_noped_t1.wav,G#1,32,90,portato,0,1.203,1
data\piano_phase3\G#1\G#1_v30_legato_noped_t1.wav,G#1,32,30,legato,0,2.318,1
data\piano_phase3\G#1\G#1_v60_portato_noped_t1.wav,G#1,32,60,portato,0,1.2,1
data\piano_phase3\G#1\G#1_v110_sustain_ped_t1.wav,G#1,32,110,sustain,1,1.862,1
data\piano_phase3\G#1\G#1_v90_sustain_ped_t1.wav,G#1,32,90,sustain,1,1.861,1
data\piano_phase3\G#1\G#1_v60_sustain_noped_t1.wav,G#1,32,60,sustain,0,1.853,1
data\piano_phase3\G#1\G#1_v60_sustain_ped_t1.wav,G#1,32,60,sustain,1,1.853,1
data\piano_phase3\G#1\G#1_v60_staccato_noped_t1.wav,G#1,32,60,staccato,0,0.756,1
data\piano_phase3\G#1\G#1_v110_legato_noped_t1.wav,G#1,32,110,legato,0,2.324,1
data\piano_phase3\G#1\G#1_v30_staccato_ped_t1.wav,G#1,32,30,staccato,1,0.761,1
data\piano_phase3\G#1\G#1_v110_legato_ped_t1.wav,G#1,32,110,legato,1,2.324,1
data\piano_phase3\G#1\G#1_v30_portato_noped_t1.wav,G#1,32,30,portato,0,1.203,1
data\piano_phase3\G#1\G#1_v110_staccato_ped_t1.wav,G#1,32,110,staccato,1,0.759,1
data\piano_phase3\G#1\G#1_v30_portato_ped_t1.wav,G#1,32,30,portato,1,1.203,1
data\piano_phase3\G#1\G#1_v90_legato_ped_t1.wav,G#1,32,90,legato,1,2.322,1
data\piano_phase3\G#1\G#1_v110_staccato_noped_t1.wav,G#1,32,110,staccato,0,0.759,1
data\piano_phase3\G#1\G#1_v30_staccato_noped_t1.wav,G#1,32,30,staccato,0,0.761,1
data\piano_phase3\G#1\G#1_v90_staccato_noped_t1.wav,G#1,32,90,staccato,0,0.759,1
data\piano_phase3\G#1\G#1_v90_sustain_noped_t1.wav,G#1,32,90,sustain,0,1.861,1
data\piano_phase3\G#1\G#1_v90_portato_ped_t1.wav,G#1,32,90,portato,1,1.203,1
data\piano_phase3\A1\A1_v30_legato_ped_t1.wav,A1,33,30,legato,1,2.318,1
data\piano_phase3\A1\A1_v110_staccato_ped_t1.wav,A1,33,110,staccato,1,0.76,1
data\piano_phase3\A1\A1_v60_staccato_ped_t1.wav,A1,33,60,staccato,1,0.756,1
data\piano_phase3\A1\A1_v30_portato_ped_t1.wav,A1,33,30,portato,1,1.202,1
data\piano_phase3\A1\A1_v60_portato_ped_t1.wav,A1,33,60,portato,1,1.2,1
data\piano_phase3\A1\A1_v30_legato_noped_t1.wav,A1,33,30,legato,0,2.318,1
data\piano_phase3\A1\A1_v90_portato_ped_t1.wav,A1,33,90,portato,1,1.203,1
data\piano_phase3\A1\A1_v90_staccato_ped_t1.wav,A1,33,90,staccato,1,0.759,1
data\piano_phase3\A1\A1_v60_legato_ped_t1.wav,A1,33,60,legato,1,2.315,1
data\piano_phase3\A1\A1_v90_staccato_noped_t1.wav,A1,33,90,staccato,0,0.759,1
data\piano_phase3\A1\A1_v110_portato_noped_t1.wav,A1,33,110,portato,0,1.204,1
data\piano_phase3\A1\A1_v60_sustain_noped_t1.wav,A1,33,60,sustain,0,1.852,1
data\piano_phase3\A1\A1_v90_legato_noped_t1.wav,A1,33,90,legato,0,2.323,1
